오분류 패턴: Disengaged(Calm) → Disengaged(Sleepy)
케이스 수: 3483개
비율: 2.53%
  65. 02-04-78--1-21-23101100000047-03-18
  66. 02-04-78--1-21-23101100000047-03-192
  67. 02-04-78--1-21-23101100000047-03-197
  68. 02-04-78--1-21-23101100000047-03-198
  69. 02-04-78--1-21-23101100000047-03-201
  70. 02-04-78--1-21-23101100000047-03-207
  71. 02-04-78--1-21-23101100000047-03-208
  72. 02-04-78--1-21-23101100000047-03-209
  73. 02-04-78--1-21-23101100000047-03-211
  74. 02-04-78--1-21-23101100000047-03-25
  75. 02-04-78--1-21-23101100000047-03-26
  76. 02-04-78--1-21-23101100000047-03-28
  77. 02-04-78--1-21-23101100000047-03-29
  78. 02-04-78--1-21-23101100000047-03-30
  79. 02-04-78--1-21-23101100000047-03-37
  80. 02-04-78--1-21-23101100000047-03-38
  81. 02-04-78--1-21-23101100000047-03-39
  82. 02-04-78--1-21-23101100000047-03-40
  83. 02-04-78--1-21-23101100000047-03-41
  84. 02-04-78--1-21-23101100000047-03-42
  85. 02-04-78--1-21-23101100000047-03-43
  86. 02-04-78--1-21-23101100000047-03-45
  87. 02-04-78--1-21-23101100000047-03-46
  88. 02-04-78--1-21-23101100000047-03-47
  89. 02-04-78--1-21-23101100000047-03-48
  90. 02-04-78--1-21-23101100000047-03-63
  91. 02-04-78--1-21-23101100000047-03-65
  92. 02-04-78--1-21-23101100000047-03-69
  93. 02-04-78--1-21-23101100000047-03-72
  94. 02-04-78--1-21-23101100000047-03-76
  95. 02-04-78--1-21-23101100000047-03-90
  96. 02-04-78--1-21-23101100000047-03-98
  97. 02-04-78--1-23-23092200000046-03-11
  98. 02-04-78--1-23-23092200000046-03-28
  99. 02-04-78--1-23-23100600000062-03-117
 100. 02-04-78--1-23-23100600000062-03-23
 101. 02-04-78--1-23-23100600000062-03-36
 102. 02-04-78--1-23-23100600000062-03-41
 103. 02-04-78--1-23-23100600000062-03-42
 104. 02-04-78--1-23-23100600000062-03-47
 105. 02-04-78--1-23-23100600000062-03-57
 106. 02-04-78--1-23-23100600000062-03-58
 107. 02-04-78--1-23-23100600000062-03-67
 108. 02-04-78--1-23-23100600000062-03-68
 109. 02-04-78--1-23-23100600000062-03-69
 110. 02-04-78--1-23-23100600000062-03-71
 111. 02-04-78--1-23-23100600000062-03-76
 112. 02-04-78--1-23-23100600000062-03-83
 113. 02-04-78--1-23-23101100000033-03-0
 114. 02-04-78--1-23-23101100000033-03-1
 115. 02-04-78--1-23-23101100000033-03-102
 116. 02-04-78--1-23-23101100000033-03-119
 117. 02-04-78--1-23-23101100000033-03-12
 118. 02-04-78--1-23-23101100000033-03-122
 119. 02-04-78--1-23-23101100000033-03-147
 120. 02-04-78--1-23-23101100000033-03-18
 121. 02-04-78--1-23-23101100000033-03-22
 122. 02-04-78--1-23-23101100000033-03-23
 123. 02-04-78--1-23-23101100000033-03-24
 124. 02-04-78--1-23-23101100000033-03-26
 125. 02-04-78--1-23-23101100000033-03-34
 126. 02-04-78--1-23-23101100000033-03-54
 127. 02-04-78--1-23-23101100000033-03-66
 128. 02-04-78--1-23-23101100000033-03-9
 129. 02-04-78--1-23-23101300000021-03-130
 130. 02-04-78--1-23-23101300000021-03-16
 131. 02-04-78--1-23-23101300000021-03-18
 132. 02-04-78--1-23-23101300000021-03-19
 133. 02-04-78--1-23-23101300000021-03-3
 134. 02-04-78--1-23-23101300000021-03-33
 135. 02-04-78--1-23-23101300000021-03-35
 136. 02-04-78--1-23-23101300000021-03-36
 137. 02-04-78--1-23-23101300000021-03-70
 138. 02-04-78--1-24-23082700000217-03-10
 139. 02-04-78--1-24-23082700000217-03-103
 140. 02-04-78--1-24-23082700000217-03-11
 141. 02-04-78--1-24-23082700000217-03-12
 142. 02-04-78--1-24-23082700000217-03-13
 143. 02-04-78--1-24-23082700000217-03-14
 144. 02-04-78--1-24-23082700000217-03-15
 145. 02-04-78--1-24-23082700000217-03-150
 146. 02-04-78--1-24-23082700000217-03-16
 147. 02-04-78--1-24-23082700000217-03-17
 148. 02-04-78--1-24-23082700000217-03-18
 149. 02-04-78--1-24-23082700000217-03-19
 150. 02-04-78--1-24-23082700000217-03-20
 151. 02-04-78--1-24-23082700000217-03-21
 152. 02-04-78--1-24-23082700000217-03-211
 153. 02-04-78--1-24-23082700000217-03-215
 154. 02-04-78--1-24-23082700000217-03-22
 155. 02-04-78--1-24-23082700000217-03-222
 156. 02-04-78--1-24-23082700000217-03-223
 157. 02-04-78--1-24-23082700000217-03-226
 158. 02-04-78--1-24-23082700000217-03-227
 159. 02-04-78--1-24-23082700000217-03-23
 160. 02-04-78--1-24-23082700000217-03-237
 161. 02-04-78--1-24-23082700000217-03-238
 162. 02-04-78--1-24-23082700000217-03-239
 163. 02-04-78--1-24-23082700000217-03-24
 164. 02-04-78--1-24-23082700000217-03-240
 165. 02-04-78--1-24-23082700000217-03-241
 166. 02-04-78--1-24-23082700000217-03-242
 167. 02-04-78--1-24-23082700000217-03-243
 168. 02-04-78--1-24-23082700000217-03-244
 169. 02-04-78--1-24-23082700000217-03-245
 170. 02-04-78--1-24-23082700000217-03-246
 171. 02-04-78--1-24-23082700000217-03-247
 172. 02-04-78--1-24-23082700000217-03-248
 173. 02-04-78--1-24-23082700000217-03-25
 174. 02-04-78--1-24-23082700000217-03-251
 175. 02-04-78--1-24-23082700000217-03-26
 176. 02-04-78--1-24-23082700000217-03-261
 177. 02-04-78--1-24-23082700000217-03-262
 178. 02-04-78--1-24-23082700000217-03-263
 179. 02-04-78--1-24-23082700000217-03-264
 180. 02-04-78--1-24-23082700000217-03-265
 181. 02-04-78--1-24-23082700000217-03-266
 182. 02-04-78--1-24-23082700000217-03-27
 183. 02-04-78--1-24-23082700000217-03-277
 184. 02-04-78--1-24-23082700000217-03-278
 185. 02-04-78--1-24-23082700000217-03-279
 186. 02-04-78--1-24-23082700000217-03-28
 187. 02-04-78--1-24-23082700000217-03-280
 188. 02-04-78--1-24-23082700000217-03-281
 189. 02-04-78--1-24-23082700000217-03-282
 190. 02-04-78--1-24-23082700000217-03-283
 191. 02-04-78--1-24-23082700000217-03-29
 192. 02-04-78--1-24-23082700000217-03-291
 193. 02-04-78--1-24-23082700000217-03-296
 194. 02-04-78--1-24-23082700000217-03-30
 195. 02-04-78--1-24-23082700000217-03-31
 196. 02-04-78--1-24-23082700000217-03-32
 197. 02-04-78--1-24-23082700000217-03-33
 198. 02-04-78--1-24-23082700000217-03-34
 199. 02-04-78--1-24-23082700000217-03-39
 200. 02-04-78--1-24-23082700000217-03-4
 201. 02-04-78--1-24-23082700000217-03-43
 202. 02-04-78--1-24-23082700000217-03-6
 203. 02-04-78--1-24-23082700000217-03-71
 204. 02-04-78--1-24-23082700000217-03-72
 205. 02-04-78--1-24-23082700000217-03-73
 206. 02-04-78--1-24-23082700000217-03-74
 207. 02-04-78--1-24-23082700000217-03-75
 208. 02-04-78--1-24-23082700000217-03-76
 209. 02-04-78--1-24-23082700000217-03-77
 210. 02-04-78--1-24-23082700000217-03-78
 211. 02-04-78--1-24-23082700000217-03-79
 212. 02-04-78--1-24-23082700000217-03-8
 213. 02-04-78--1-24-23082700000217-03-80
 214. 02-04-78--1-24-23082700000217-03-81
 215. 02-04-78--1-24-23082700000217-03-82
 216. 02-04-78--1-24-23082700000217-03-83
 217. 02-04-78--1-24-23082700000217-03-84
 218. 02-04-78--1-24-23082700000217-03-85
 219. 02-04-78--1-24-23082700000217-03-86
 220. 02-04-78--1-24-23082700000217-03-87
 221. 02-04-78--1-24-23082700000217-03-88
 222. 02-04-78--1-24-23082700000217-03-9
 223. 02-04-78--1-24-23082700000217-03-92
 224. 02-04-78--1-24-23082700000217-03-93
 225. 02-04-78--1-24-23082700000217-03-94
 226. 02-04-78--1-24-23082700000217-03-96
 227. 02-04-78--1-24-23082700000217-03-97
 228. 02-04-78--1-24-23082700000217-03-98
 229. 02-04-78--1-24-23082700000311-03-0
 230. 02-04-78--1-24-23082700000311-03-1
 231. 02-04-78--1-24-23082700000311-03-119
 232. 02-04-78--1-24-23082700000311-03-12
 233. 02-04-78--1-24-23082700000311-03-13
 234. 02-04-78--1-24-23082700000311-03-138
 235. 02-04-78--1-24-23082700000311-03-15
 236. 02-04-78--1-24-23082700000311-03-150
 237. 02-04-78--1-24-23082700000311-03-152
 238. 02-04-78--1-24-23082700000311-03-154
 239. 02-04-78--1-24-23082700000311-03-162
 240. 02-04-78--1-24-23082700000311-03-17
 241. 02-04-78--1-24-23082700000311-03-207
 242. 02-04-78--1-24-23082700000311-03-209
 243. 02-04-78--1-24-23082700000311-03-222
 244. 02-04-78--1-24-23082700000311-03-224
 245. 02-04-78--1-24-23082700000311-03-26
 246. 02-04-78--1-24-23082700000311-03-263
 247. 02-04-78--1-24-23082700000311-03-264
 248. 02-04-78--1-24-23082700000311-03-275
 249. 02-04-78--1-24-23082700000311-03-287
 250. 02-04-78--1-24-23082700000311-03-299
 251. 02-04-78--1-24-23082700000311-03-300
 252. 02-04-78--1-24-23082700000311-03-305
 253. 02-04-78--1-24-23082700000311-03-312
 254. 02-04-78--1-24-23082700000311-03-320
 255. 02-04-78--1-24-23082700000311-03-321
 256. 02-04-78--1-24-23082700000311-03-324
 257. 02-04-78--1-24-23082700000311-03-325
 258. 02-04-78--1-24-23082700000311-03-326
 259. 02-04-78--1-24-23082700000311-03-327
 260. 02-04-78--1-24-23082700000311-03-328
 261. 02-04-78--1-24-23082700000311-03-338
 262. 02-04-78--1-24-23082700000311-03-383
 263. 02-04-78--1-24-23082700000311-03-39
 264. 02-04-78--1-24-23082700000311-03-40
 265. 02-04-78--1-24-23082700000311-03-41
 266. 02-04-78--1-24-23082700000311-03-42
 267. 02-04-78--1-24-23082700000311-03-424
 268. 02-04-78--1-24-23082700000311-03-43
 269. 02-04-78--1-24-23082700000311-03-44
 270. 02-04-78--1-24-23082700000311-03-50
 271. 02-04-78--1-24-23082700000311-03-51
 272. 02-04-78--1-24-23082700000311-03-58
 273. 02-04-78--1-24-23082700000311-03-63
 274. 02-04-78--1-24-23082700000311-03-88
 275. 02-04-78--1-24-23090600000032-03-118
 276. 02-04-78--1-24-23090600000032-03-121
 277. 02-04-78--1-24-23090600000032-03-135
 278. 02-04-78--1-24-23090600000032-03-36
 279. 02-04-78--1-24-23090600000032-03-38
 280. 02-04-78--1-24-23090600000032-03-41
 281. 02-04-78--1-24-23090600000032-03-43
 282. 02-04-78--1-24-23090600000032-03-44
 283. 02-04-78--1-24-23090600000032-03-47
 284. 02-04-78--1-24-23090600000032-03-83
 285. 02-04-78--1-24-23090600000032-03-86
 286. 02-04-78--1-24-23090600000063-03-115
 287. 02-04-78--1-24-23090600000063-03-182
 288. 02-04-78--1-24-23090600000063-03-21
 289. 02-04-78--1-24-23090600000063-03-42
 290. 02-04-78--1-24-23090600000063-03-81
 291. 02-04-78--1-24-23090600000063-03-95
 292. 02-04-78--1-24-23090800000056-03-124
 293. 02-04-78--1-24-23090800000056-03-129
 294. 02-04-78--1-24-23090800000056-03-131
 295. 02-04-78--1-24-23090800000056-03-146
 296. 02-04-78--1-24-23090800000056-03-147
 297. 02-04-78--1-24-23090800000056-03-148
 298. 02-04-78--1-24-23090800000056-03-149
 299. 02-04-78--1-24-23090800000056-03-150
 300. 02-04-78--1-24-23090800000056-03-151
 301. 02-04-78--1-24-23090800000056-03-152
 302. 02-04-78--1-24-23090800000056-03-153
 303. 02-04-78--1-24-23090800000056-03-154
 304. 02-04-78--1-24-23090800000056-03-55
 305. 02-04-78--1-24-23090800000056-03-68
 306. 02-04-78--1-24-23090800000056-03-69
 307. 02-04-78--1-24-23090800000056-03-71
 308. 02-04-78--1-24-23090800000056-03-8
 309. 02-04-78--1-24-23090800000056-03-81
 310. 02-04-78--1-24-23090800000056-03-96
 311. 02-04-78--1-24-23090800000056-03-97
 312. 02-04-78--1-24-23090800000056-03-98
 313. 02-04-78--1-24-23091500000038-03-1
 314. 02-04-78--1-24-23091500000038-03-10
 315. 02-04-78--1-24-23091500000038-03-11
 316. 02-04-78--1-24-23091500000038-03-12
 317. 02-04-78--1-24-23091500000038-03-123
 318. 02-04-78--1-24-23091500000038-03-125
 319. 02-04-78--1-24-23091500000038-03-137
 320. 02-04-78--1-24-23091500000038-03-138
 321. 02-04-78--1-24-23091500000038-03-189
 322. 02-04-78--1-24-23091500000038-03-19
 323. 02-04-78--1-24-23091500000038-03-24
 324. 02-04-78--1-24-23091500000038-03-37
 325. 02-04-78--1-24-23091500000038-03-43
 326. 02-04-78--1-24-23091500000038-03-45
 327. 02-04-78--1-24-23091500000038-03-5
 328. 02-04-78--1-24-23091500000038-03-55
 329. 02-04-78--1-24-23091500000038-03-6
 330. 02-04-78--1-24-23091500000038-03-7
 331. 02-04-78--1-24-23091500000038-03-8
 332. 02-04-78--1-24-23092000000011-03-10
 333. 02-04-78--1-24-23092000000011-03-145
 334. 02-04-78--1-24-23092000000011-03-146
 335. 02-04-78--1-24-23092000000011-03-147
 336. 02-04-78--1-24-23092000000011-03-148
 337. 02-04-78--1-24-23092000000011-03-157
 338. 02-04-78--1-24-23092000000011-03-161
 339. 02-04-78--1-24-23092000000011-03-170
 340. 02-04-78--1-24-23092000000011-03-205
 341. 02-04-78--1-24-23092000000011-03-215
 342. 02-04-78--1-24-23092000000011-03-217
 343. 02-04-78--1-24-23092000000020-03-124
 344. 02-04-78--1-24-23092000000020-03-167
 345. 02-04-78--1-24-23092000000020-03-176
 346. 02-04-78--1-24-23092000000020-03-183
 347. 02-04-78--1-24-23092200000012-03-114
 348. 02-04-78--1-24-23092200000012-03-127
 349. 02-04-78--1-24-23092200000012-03-140
 350. 02-04-78--1-24-23092200000012-03-144
 351. 02-04-78--1-24-23092200000012-03-145
 352. 02-04-78--1-24-23092200000012-03-147
 353. 02-04-78--1-24-23092200000012-03-149
 354. 02-04-78--1-24-23092200000012-03-150
 355. 02-04-78--1-24-23092200000012-03-151
 356. 02-04-78--1-24-23092200000012-03-154
 357. 02-04-78--1-24-23092200000012-03-163
 358. 02-04-78--1-24-23092200000012-03-170
 359. 02-04-78--1-24-23092200000012-03-171
 360. 02-04-78--1-24-23092200000012-03-173
 361. 02-04-78--1-24-23092200000012-03-174
 362. 02-04-78--1-24-23092200000012-03-182
 363. 02-04-78--1-24-23092200000012-03-20
 364. 02-04-78--1-24-23092200000012-03-21
 365. 02-04-78--1-24-23092200000012-03-33
 366. 02-04-78--1-24-23092200000012-03-36
 367. 02-04-78--1-24-23092200000012-03-40
 368. 02-04-78--1-24-23092200000012-03-43
 369. 02-04-78--1-24-23092200000012-03-75
 370. 02-04-78--1-24-23092200000012-03-76
 371. 02-04-78--1-24-23101100000007-03-1
 372. 02-04-78--1-24-23101100000007-03-108
 373. 02-04-78--1-24-23101100000007-03-109
 374. 02-04-78--1-24-23101100000007-03-110
 375. 02-04-78--1-24-23101100000007-03-111
 376. 02-04-78--1-24-23101100000007-03-112
 377. 02-04-78--1-24-23101100000007-03-114
 378. 02-04-78--1-24-23101100000007-03-115
 379. 02-04-78--1-24-23101100000007-03-116
 380. 02-04-78--1-24-23101100000007-03-119
 381. 02-04-78--1-24-23101100000007-03-124
 382. 02-04-78--1-24-23101100000007-03-125
 383. 02-04-78--1-24-23101100000007-03-126
 384. 02-04-78--1-24-23101100000007-03-127
 385. 02-04-78--1-24-23101100000007-03-130
 386. 02-04-78--1-24-23101100000007-03-131
 387. 02-04-78--1-24-23101100000007-03-132
 388. 02-04-78--1-24-23101100000007-03-133
 389. 02-04-78--1-24-23101100000007-03-134
 390. 02-04-78--1-24-23101100000007-03-160
 391. 02-04-78--1-24-23101100000007-03-161
 392. 02-04-78--1-24-23101100000007-03-163
 393. 02-04-78--1-24-23101100000007-03-169
 394. 02-04-78--1-24-23101100000007-03-170
 395. 02-04-78--1-24-23101100000007-03-171
 396. 02-04-78--1-24-23101100000007-03-172
 397. 02-04-78--1-24-23101100000007-03-182
 398. 02-04-78--1-24-23101100000007-03-193
 399. 02-04-78--1-24-23101100000007-03-194
 400. 02-04-78--1-24-23101100000007-03-195
 401. 02-04-78--1-24-23101100000007-03-196
 402. 02-04-78--1-24-23101100000007-03-197
 403. 02-04-78--1-24-23101100000007-03-200
 404. 02-04-78--1-24-23101100000007-03-33
 405. 02-04-78--1-24-23101100000007-03-34
 406. 02-04-78--1-24-23101100000007-03-35
 407. 02-04-78--1-24-23101100000007-03-36
 408. 02-04-78--1-24-23101100000007-03-37
 409. 02-04-78--1-24-23101100000007-03-38
 410. 02-04-78--1-24-23101100000007-03-39
 411. 02-04-78--1-24-23101100000007-03-40
 412. 02-04-78--1-24-23101100000007-03-41
 413. 02-04-78--1-24-23101100000007-03-43
 414. 02-04-78--1-24-23101100000007-03-44
 415. 02-04-78--1-24-23101100000007-03-45
 416. 02-04-78--1-24-23101100000007-03-46
 417. 02-04-78--1-24-23101100000007-03-47
 418. 02-04-78--1-24-23101100000007-03-48
 419. 02-04-78--1-24-23101100000007-03-55
 420. 02-04-78--1-24-23101100000007-03-56
 421. 02-04-78--1-24-23101100000007-03-57
 422. 02-04-78--1-24-23101100000007-03-71
 423. 02-04-78--1-24-23101100000007-03-78
 424. 02-04-78--1-24-23101100000007-03-82
 425. 02-04-78--1-24-23101100000007-03-89
 426. 02-04-78--1-24-23101100000007-03-90
 427. 02-04-78--1-24-23101100000007-03-91
 428. 02-04-78--1-24-23101100000007-03-92
 429. 02-04-78--1-24-23101100000007-03-95
 430. 02-04-78--1-24-23101100000007-03-97
 431. 02-04-78--1-24-23101100000007-03-98
 432. 02-04-78--1-24-23101300000023-03-121
 433. 02-04-78--1-24-23101300000023-03-145
 434. 02-04-78--1-24-23101300000023-03-152
 435. 02-04-78--1-24-23101300000023-03-154
 436. 02-04-78--1-24-23101300000023-03-155
 437. 02-04-78--1-24-23101300000023-03-173
 438. 02-04-78--1-24-23101300000023-03-175
 439. 02-04-78--1-24-23101300000023-03-176
 440. 02-04-78--1-24-23101300000023-03-178
 441. 02-04-78--1-24-23101300000023-03-181
 442. 02-04-78--1-24-23101300000023-03-182
 443. 02-04-78--1-24-23101300000023-03-183
 444. 02-04-78--1-24-23101300000023-03-184
 445. 02-04-78--1-24-23101300000023-03-185
 446. 02-04-78--1-24-23101300000023-03-186
 447. 02-04-78--1-24-23101300000023-03-187
 448. 02-04-78--1-24-23101300000023-03-188
 449. 02-04-78--1-24-23101300000023-03-189
 450. 02-04-78--1-24-23101300000023-03-190
 451. 02-04-78--1-24-23101300000023-03-191
 452. 02-04-78--1-24-23101300000023-03-192
 453. 02-04-78--1-24-23101300000023-03-193
 454. 02-04-78--1-24-23101300000023-03-200
 455. 02-04-78--1-24-23101300000023-03-201
 456. 02-04-78--1-24-23101300000023-03-202
 457. 02-04-78--1-24-23101300000023-03-205
 458. 02-04-78--1-24-23101300000023-03-42
 459. 02-04-78--1-24-23101300000023-03-43
 460. 02-04-78--1-24-23101300000023-03-44
 461. 02-04-78--1-24-23101300000023-03-45
 462. 02-04-78--1-24-23101300000023-03-46
 463. 02-04-78--1-24-23101300000023-03-48
 464. 02-04-78--1-24-23101300000023-03-49
 465. 02-04-78--1-24-23101300000023-03-50
 466. 02-04-78--1-24-23101300000023-03-59
 467. 02-04-78--1-24-23101300000023-03-62
 468. 02-04-78--1-24-23101300000023-03-78
 469. 02-04-78--1-24-23101300000023-03-86
 470. 02-04-78--1-25-23082700000104-03-10
 471. 02-04-78--1-25-23082700000104-03-100
 472. 02-04-78--1-25-23082700000104-03-101
 473. 02-04-78--1-25-23082700000104-03-102
 474. 02-04-78--1-25-23082700000104-03-103
 475. 02-04-78--1-25-23082700000104-03-104
 476. 02-04-78--1-25-23082700000104-03-105
 477. 02-04-78--1-25-23082700000104-03-106
 478. 02-04-78--1-25-23082700000104-03-107
 479. 02-04-78--1-25-23082700000104-03-108
 480. 02-04-78--1-25-23082700000104-03-109
 481. 02-04-78--1-25-23082700000104-03-110
 482. 02-04-78--1-25-23082700000104-03-111
 483. 02-04-78--1-25-23082700000104-03-112
 484. 02-04-78--1-25-23082700000104-03-113
 485. 02-04-78--1-25-23082700000104-03-118
 486. 02-04-78--1-25-23082700000104-03-12
 487. 02-04-78--1-25-23082700000104-03-120
 488. 02-04-78--1-25-23082700000104-03-121
 489. 02-04-78--1-25-23082700000104-03-123
 490. 02-04-78--1-25-23082700000104-03-127
 491. 02-04-78--1-25-23082700000104-03-128
 492. 02-04-78--1-25-23082700000104-03-13
 493. 02-04-78--1-25-23082700000104-03-130
 494. 02-04-78--1-25-23082700000104-03-138
 495. 02-04-78--1-25-23082700000104-03-14
 496. 02-04-78--1-25-23082700000104-03-140
 497. 02-04-78--1-25-23082700000104-03-149
 498. 02-04-78--1-25-23082700000104-03-15
 499. 02-04-78--1-25-23082700000104-03-150
 500. 02-04-78--1-25-23082700000104-03-151
 501. 02-04-78--1-25-23082700000104-03-152
 502. 02-04-78--1-25-23082700000104-03-153
 503. 02-04-78--1-25-23082700000104-03-154
 504. 02-04-78--1-25-23082700000104-03-155
 505. 02-04-78--1-25-23082700000104-03-156
 506. 02-04-78--1-25-23082700000104-03-157
 507. 02-04-78--1-25-23082700000104-03-158
 508. 02-04-78--1-25-23082700000104-03-16
 509. 02-04-78--1-25-23082700000104-03-17
 510. 02-04-78--1-25-23082700000104-03-176
 511. 02-04-78--1-25-23082700000104-03-177
 512. 02-04-78--1-25-23082700000104-03-178
 513. 02-04-78--1-25-23082700000104-03-179
 514. 02-04-78--1-25-23082700000104-03-180
 515. 02-04-78--1-25-23082700000104-03-181
 516. 02-04-78--1-25-23082700000104-03-182
 517. 02-04-78--1-25-23082700000104-03-183
 518. 02-04-78--1-25-23082700000104-03-185
 519. 02-04-78--1-25-23082700000104-03-186
 520. 02-04-78--1-25-23082700000104-03-187
 521. 02-04-78--1-25-23082700000104-03-188
 522. 02-04-78--1-25-23082700000104-03-191
 523. 02-04-78--1-25-23082700000104-03-192
 524. 02-04-78--1-25-23082700000104-03-193
 525. 02-04-78--1-25-23082700000104-03-194
 526. 02-04-78--1-25-23082700000104-03-195
 527. 02-04-78--1-25-23082700000104-03-196
 528. 02-04-78--1-25-23082700000104-03-197
 529. 02-04-78--1-25-23082700000104-03-198
 530. 02-04-78--1-25-23082700000104-03-199
 531. 02-04-78--1-25-23082700000104-03-200
 532. 02-04-78--1-25-23082700000104-03-201
 533. 02-04-78--1-25-23082700000104-03-202
 534. 02-04-78--1-25-23082700000104-03-203
 535. 02-04-78--1-25-23082700000104-03-204
 536. 02-04-78--1-25-23082700000104-03-205
 537. 02-04-78--1-25-23082700000104-03-207
 538. 02-04-78--1-25-23082700000104-03-208
 539. 02-04-78--1-25-23082700000104-03-212
 540. 02-04-78--1-25-23082700000104-03-213
 541. 02-04-78--1-25-23082700000104-03-216
 542. 02-04-78--1-25-23082700000104-03-217
 543. 02-04-78--1-25-23082700000104-03-218
 544. 02-04-78--1-25-23082700000104-03-221
 545. 02-04-78--1-25-23082700000104-03-226
 546. 02-04-78--1-25-23082700000104-03-234
 547. 02-04-78--1-25-23082700000104-03-243
 548. 02-04-78--1-25-23082700000104-03-244
 549. 02-04-78--1-25-23082700000104-03-249
 550. 02-04-78--1-25-23082700000104-03-250
 551. 02-04-78--1-25-23082700000104-03-268
 552. 02-04-78--1-25-23082700000104-03-270
 553. 02-04-78--1-25-23082700000104-03-282
 554. 02-04-78--1-25-23082700000104-03-283
 555. 02-04-78--1-25-23082700000104-03-284
 556. 02-04-78--1-25-23082700000104-03-285
 557. 02-04-78--1-25-23082700000104-03-286
 558. 02-04-78--1-25-23082700000104-03-288
 559. 02-04-78--1-25-23082700000104-03-289
 560. 02-04-78--1-25-23082700000104-03-290
 561. 02-04-78--1-25-23082700000104-03-293
 562. 02-04-78--1-25-23082700000104-03-294
 563. 02-04-78--1-25-23082700000104-03-32
 564. 02-04-78--1-25-23082700000104-03-33
 565. 02-04-78--1-25-23082700000104-03-36
 566. 02-04-78--1-25-23082700000104-03-37
 567. 02-04-78--1-25-23082700000104-03-38
 568. 02-04-78--1-25-23082700000104-03-39
 569. 02-04-78--1-25-23082700000104-03-40
 570. 02-04-78--1-25-23082700000104-03-41
 571. 02-04-78--1-25-23082700000104-03-42
 572. 02-04-78--1-25-23082700000104-03-43
 573. 02-04-78--1-25-23082700000104-03-44
 574. 02-04-78--1-25-23082700000104-03-45
 575. 02-04-78--1-25-23082700000104-03-46
 576. 02-04-78--1-25-23082700000104-03-47
 577. 02-04-78--1-25-23082700000104-03-48
 578. 02-04-78--1-25-23082700000104-03-49
