오분류 패턴: Engaged(Calm) → Engaged(Interest)
케이스 수: 3167개
비율: 2.30%
  65. 02-04-78--1-24-23082700000217-02-201
  66. 02-04-78--1-24-23082700000217-02-203
  67. 02-04-78--1-24-23082700000217-02-207
  68. 02-04-78--1-24-23082700000217-02-210
  69. 02-04-78--1-24-23082700000217-02-211
  70. 02-04-78--1-24-23082700000217-02-212
  71. 02-04-78--1-24-23082700000217-02-213
  72. 02-04-78--1-24-23082700000217-02-215
  73. 02-04-78--1-24-23082700000217-02-226
  74. 02-04-78--1-24-23082700000217-02-23
  75. 02-04-78--1-24-23082700000217-02-27
  76. 02-04-78--1-24-23082700000217-02-272
  77. 02-04-78--1-24-23082700000217-02-356
  78. 02-04-78--1-24-23082700000217-02-357
  79. 02-04-78--1-24-23082700000217-02-358
  80. 02-04-78--1-24-23082700000217-02-359
  81. 02-04-78--1-24-23082700000217-02-361
  82. 02-04-78--1-24-23082700000217-02-362
  83. 02-04-78--1-24-23082700000217-02-363
  84. 02-04-78--1-24-23082700000217-02-46
  85. 02-04-78--1-24-23082700000217-02-47
  86. 02-04-78--1-24-23082700000217-02-49
  87. 02-04-78--1-24-23082700000217-02-50
  88. 02-04-78--1-24-23082700000217-02-52
  89. 02-04-78--1-24-23082700000217-02-59
  90. 02-04-78--1-24-23082700000217-02-86
  91. 02-04-78--1-24-23082700000311-02-153
  92. 02-04-78--1-24-23082700000311-02-27
  93. 02-04-78--1-24-23082700000311-02-28
  94. 02-04-78--1-24-23082700000311-02-3
  95. 02-04-78--1-24-23082700000311-02-4
  96. 02-04-78--1-24-23082700000311-02-46
  97. 02-04-78--1-24-23082700000311-02-5
  98. 02-04-78--1-24-23082700000311-02-7
  99. 02-04-78--1-24-23090600000063-02-10
 100. 02-04-78--1-24-23090600000063-02-100
 101. 02-04-78--1-24-23090600000063-02-101
 102. 02-04-78--1-24-23090600000063-02-103
 103. 02-04-78--1-24-23090600000063-02-105
 104. 02-04-78--1-24-23090600000063-02-106
 105. 02-04-78--1-24-23090600000063-02-108
 106. 02-04-78--1-24-23090600000063-02-110
 107. 02-04-78--1-24-23090600000063-02-113
 108. 02-04-78--1-24-23090600000063-02-129
 109. 02-04-78--1-24-23090600000063-02-130
 110. 02-04-78--1-24-23090600000063-02-131
 111. 02-04-78--1-24-23090600000063-02-134
 112. 02-04-78--1-24-23090600000063-02-139
 113. 02-04-78--1-24-23090600000063-02-14
 114. 02-04-78--1-24-23090600000063-02-140
 115. 02-04-78--1-24-23090600000063-02-142
 116. 02-04-78--1-24-23090600000063-02-143
 117. 02-04-78--1-24-23090600000063-02-144
 118. 02-04-78--1-24-23090600000063-02-145
 119. 02-04-78--1-24-23090600000063-02-146
 120. 02-04-78--1-24-23090600000063-02-15
 121. 02-04-78--1-24-23090600000063-02-152
 122. 02-04-78--1-24-23090600000063-02-153
 123. 02-04-78--1-24-23090600000063-02-156
 124. 02-04-78--1-24-23090600000063-02-159
 125. 02-04-78--1-24-23090600000063-02-16
 126. 02-04-78--1-24-23090600000063-02-17
 127. 02-04-78--1-24-23090600000063-02-170
 128. 02-04-78--1-24-23090600000063-02-18
 129. 02-04-78--1-24-23090600000063-02-19
 130. 02-04-78--1-24-23090600000063-02-194
 131. 02-04-78--1-24-23090600000063-02-199
 132. 02-04-78--1-24-23090600000063-02-2
 133. 02-04-78--1-24-23090600000063-02-20
 134. 02-04-78--1-24-23090600000063-02-201
 135. 02-04-78--1-24-23090600000063-02-204
 136. 02-04-78--1-24-23090600000063-02-21
 137. 02-04-78--1-24-23090600000063-02-30
 138. 02-04-78--1-24-23090600000063-02-32
 139. 02-04-78--1-24-23090600000063-02-33
 140. 02-04-78--1-24-23090600000063-02-34
 141. 02-04-78--1-24-23090600000063-02-35
 142. 02-04-78--1-24-23090600000063-02-4
 143. 02-04-78--1-24-23090600000063-02-45
 144. 02-04-78--1-24-23090600000063-02-57
 145. 02-04-78--1-24-23090600000063-02-75
 146. 02-04-78--1-24-23090600000063-02-76
 147. 02-04-78--1-24-23090600000063-02-77
 148. 02-04-78--1-24-23090600000063-02-79
 149. 02-04-78--1-24-23090600000063-02-84
 150. 02-04-78--1-24-23090600000063-02-85
 151. 02-04-78--1-24-23090600000063-02-86
 152. 02-04-78--1-24-23090600000063-02-89
 153. 02-04-78--1-24-23090600000063-02-91
 154. 02-04-78--1-24-23090600000063-02-95
 155. 02-04-78--1-24-23090600000063-02-96
 156. 02-04-78--1-24-23090600000063-02-97
 157. 02-04-78--1-24-23090600000063-02-98
 158. 02-04-78--1-24-23090600000063-02-99
 159. 02-04-78--1-24-23090800000056-02-21
 160. 02-04-78--1-24-23090800000056-02-27
 161. 02-04-78--1-24-23090800000056-02-87
 162. 02-04-78--1-24-23091500000038-02-1
 163. 02-04-78--1-24-23091500000038-02-111
 164. 02-04-78--1-24-23091500000038-02-15
 165. 02-04-78--1-24-23091500000038-02-3
 166. 02-04-78--1-24-23091500000038-02-4
 167. 02-04-78--1-24-23091500000038-02-40
 168. 02-04-78--1-24-23091500000038-02-43
 169. 02-04-78--1-24-23091500000038-02-44
 170. 02-04-78--1-24-23091500000038-02-46
 171. 02-04-78--1-24-23091500000038-02-5
 172. 02-04-78--1-24-23091500000038-02-6
 173. 02-04-78--1-24-23091500000038-02-64
 174. 02-04-78--1-24-23091500000038-02-66
 175. 02-04-78--1-24-23091500000038-02-68
 176. 02-04-78--1-24-23091500000038-02-7
 177. 02-04-78--1-24-23091500000038-02-82
 178. 02-04-78--1-24-23092000000011-02-1
 179. 02-04-78--1-24-23092000000011-02-10
 180. 02-04-78--1-24-23092000000011-02-11
 181. 02-04-78--1-24-23092000000011-02-140
 182. 02-04-78--1-24-23092000000011-02-147
 183. 02-04-78--1-24-23092000000011-02-148
 184. 02-04-78--1-24-23092000000011-02-165
 185. 02-04-78--1-24-23092000000011-02-174
 186. 02-04-78--1-24-23092000000011-02-176
 187. 02-04-78--1-24-23092000000011-02-177
 188. 02-04-78--1-24-23092000000011-02-178
 189. 02-04-78--1-24-23092000000011-02-179
 190. 02-04-78--1-24-23092000000011-02-180
 191. 02-04-78--1-24-23092000000011-02-210
 192. 02-04-78--1-24-23092000000011-02-216
 193. 02-04-78--1-24-23092000000011-02-3
 194. 02-04-78--1-24-23092000000011-02-4
 195. 02-04-78--1-24-23092000000011-02-40
 196. 02-04-78--1-24-23092000000011-02-5
 197. 02-04-78--1-24-23092000000011-02-6
 198. 02-04-78--1-24-23092000000011-02-7
 199. 02-04-78--1-24-23092000000011-02-9
 200. 02-04-78--1-24-23092000000020-02-1
 201. 02-04-78--1-24-23092000000020-02-25
 202. 02-04-78--1-24-23092000000020-02-84
 203. 02-04-78--1-24-23092000000020-02-87
 204. 02-04-78--1-24-23092200000012-02-165
 205. 02-04-78--1-24-23092200000012-02-186
 206. 02-04-78--1-24-23092200000012-02-211
 207. 02-04-78--1-24-23092200000012-02-25
 208. 02-04-78--1-24-23101100000007-02-117
 209. 02-04-78--1-24-23101100000007-02-129
 210. 02-04-78--1-24-23101100000007-02-152
 211. 02-04-78--1-24-23101100000007-02-153
 212. 02-04-78--1-24-23101100000007-02-154
 213. 02-04-78--1-24-23101100000007-02-157
 214. 02-04-78--1-24-23101100000007-02-181
 215. 02-04-78--1-24-23101100000007-02-200
 216. 02-04-78--1-24-23101100000007-02-223
 217. 02-04-78--1-24-23101100000007-02-44
 218. 02-04-78--1-24-23101100000007-02-50
 219. 02-04-78--1-24-23101100000007-02-51
 220. 02-04-78--1-24-23101100000007-02-52
 221. 02-04-78--1-24-23101100000007-02-60
 222. 02-04-78--1-24-23101100000007-02-61
 223. 02-04-78--1-24-23101100000007-02-62
 224. 02-04-78--1-24-23101100000007-02-65
 225. 02-04-78--1-24-23101100000007-02-67
 226. 02-04-78--1-24-23101100000007-02-68
 227. 02-04-78--1-24-23101100000007-02-70
 228. 02-04-78--1-24-23101100000007-02-71
 229. 02-04-78--1-24-23101100000007-02-72
 230. 02-04-78--1-24-23101100000007-02-91
 231. 02-04-78--1-24-23101100000007-02-92
 232. 02-04-78--1-24-23101100000007-02-94
 233. 02-04-78--1-24-23101100000007-02-95
 234. 02-04-78--1-24-23101300000023-02-0
 235. 02-04-78--1-24-23101300000023-02-100
 236. 02-04-78--1-24-23101300000023-02-101
 237. 02-04-78--1-24-23101300000023-02-102
 238. 02-04-78--1-24-23101300000023-02-104
 239. 02-04-78--1-24-23101300000023-02-105
 240. 02-04-78--1-24-23101300000023-02-106
 241. 02-04-78--1-24-23101300000023-02-116
 242. 02-04-78--1-24-23101300000023-02-117
 243. 02-04-78--1-24-23101300000023-02-118
 244. 02-04-78--1-24-23101300000023-02-119
 245. 02-04-78--1-24-23101300000023-02-120
 246. 02-04-78--1-24-23101300000023-02-122
 247. 02-04-78--1-24-23101300000023-02-123
 248. 02-04-78--1-24-23101300000023-02-124
 249. 02-04-78--1-24-23101300000023-02-125
 250. 02-04-78--1-24-23101300000023-02-126
 251. 02-04-78--1-24-23101300000023-02-128
 252. 02-04-78--1-24-23101300000023-02-129
 253. 02-04-78--1-24-23101300000023-02-130
 254. 02-04-78--1-24-23101300000023-02-132
 255. 02-04-78--1-24-23101300000023-02-133
 256. 02-04-78--1-24-23101300000023-02-134
 257. 02-04-78--1-24-23101300000023-02-136
 258. 02-04-78--1-24-23101300000023-02-139
 259. 02-04-78--1-24-23101300000023-02-144
 260. 02-04-78--1-24-23101300000023-02-145
 261. 02-04-78--1-24-23101300000023-02-147
 262. 02-04-78--1-24-23101300000023-02-149
 263. 02-04-78--1-24-23101300000023-02-15
 264. 02-04-78--1-24-23101300000023-02-150
 265. 02-04-78--1-24-23101300000023-02-155
 266. 02-04-78--1-24-23101300000023-02-16
 267. 02-04-78--1-24-23101300000023-02-160
 268. 02-04-78--1-24-23101300000023-02-161
 269. 02-04-78--1-24-23101300000023-02-162
 270. 02-04-78--1-24-23101300000023-02-165
 271. 02-04-78--1-24-23101300000023-02-166
 272. 02-04-78--1-24-23101300000023-02-167
 273. 02-04-78--1-24-23101300000023-02-17
 274. 02-04-78--1-24-23101300000023-02-181
 275. 02-04-78--1-24-23101300000023-02-193
 276. 02-04-78--1-24-23101300000023-02-197
 277. 02-04-78--1-24-23101300000023-02-20
 278. 02-04-78--1-24-23101300000023-02-209
 279. 02-04-78--1-24-23101300000023-02-213
 280. 02-04-78--1-24-23101300000023-02-214
 281. 02-04-78--1-24-23101300000023-02-216
 282. 02-04-78--1-24-23101300000023-02-24
 283. 02-04-78--1-24-23101300000023-02-25
 284. 02-04-78--1-24-23101300000023-02-26
 285. 02-04-78--1-24-23101300000023-02-30
 286. 02-04-78--1-24-23101300000023-02-35
 287. 02-04-78--1-24-23101300000023-02-36
 288. 02-04-78--1-24-23101300000023-02-37
 289. 02-04-78--1-24-23101300000023-02-38
 290. 02-04-78--1-24-23101300000023-02-39
 291. 02-04-78--1-24-23101300000023-02-40
 292. 02-04-78--1-24-23101300000023-02-41
 293. 02-04-78--1-24-23101300000023-02-42
 294. 02-04-78--1-24-23101300000023-02-43
 295. 02-04-78--1-24-23101300000023-02-44
 296. 02-04-78--1-24-23101300000023-02-45
 297. 02-04-78--1-24-23101300000023-02-47
 298. 02-04-78--1-24-23101300000023-02-48
 299. 02-04-78--1-24-23101300000023-02-50
 300. 02-04-78--1-24-23101300000023-02-51
 301. 02-04-78--1-24-23101300000023-02-53
 302. 02-04-78--1-24-23101300000023-02-54
 303. 02-04-78--1-24-23101300000023-02-55
 304. 02-04-78--1-24-23101300000023-02-56
 305. 02-04-78--1-24-23101300000023-02-58
 306. 02-04-78--1-24-23101300000023-02-59
 307. 02-04-78--1-24-23101300000023-02-6
 308. 02-04-78--1-24-23101300000023-02-60
 309. 02-04-78--1-24-23101300000023-02-61
 310. 02-04-78--1-24-23101300000023-02-62
 311. 02-04-78--1-24-23101300000023-02-63
 312. 02-04-78--1-24-23101300000023-02-66
 313. 02-04-78--1-24-23101300000023-02-67
 314. 02-04-78--1-24-23101300000023-02-68
 315. 02-04-78--1-24-23101300000023-02-69
 316. 02-04-78--1-24-23101300000023-02-7
 317. 02-04-78--1-24-23101300000023-02-70
 318. 02-04-78--1-24-23101300000023-02-74
 319. 02-04-78--1-24-23101300000023-02-75
 320. 02-04-78--1-24-23101300000023-02-8
 321. 02-04-78--1-24-23101300000023-02-89
 322. 02-04-78--1-24-23101300000023-02-9
 323. 02-04-78--1-24-23101300000023-02-90
 324. 02-04-78--1-24-23101300000023-02-91
 325. 02-04-78--1-24-23101300000023-02-92
 326. 02-04-78--1-24-23101300000023-02-93
 327. 02-04-78--1-24-23101300000023-02-94
 328. 02-04-78--1-24-23101300000023-02-95
 329. 02-04-78--1-24-23101300000023-02-96
 330. 02-04-78--1-24-23101300000023-02-97
 331. 02-04-78--1-24-23101300000023-02-98
 332. 02-04-78--1-25-23082700000104-02-152
 333. 02-04-78--1-25-23082700000104-02-232
 334. 02-04-78--1-25-23082700000104-02-334
 335. 02-04-78--1-25-23090600000023-02-1
 336. 02-04-78--1-25-23090600000023-02-131
 337. 02-04-78--1-25-23090600000023-02-132
 338. 02-04-78--1-25-23090600000023-02-133
 339. 02-04-78--1-25-23090600000023-02-134
 340. 02-04-78--1-25-23090600000023-02-135
 341. 02-04-78--1-25-23090600000023-02-137
 342. 02-04-78--1-25-23090600000023-02-146
 343. 02-04-78--1-25-23090600000023-02-148
 344. 02-04-78--1-25-23090600000023-02-175
 345. 02-04-78--1-25-23090600000023-02-47
 346. 02-04-78--1-25-23090600000023-02-81
 347. 02-04-78--1-25-23090600000033-02-0
 348. 02-04-78--1-25-23090600000033-02-100
 349. 02-04-78--1-25-23090600000033-02-101
 350. 02-04-78--1-25-23090600000033-02-103
 351. 02-04-78--1-25-23090600000033-02-104
 352. 02-04-78--1-25-23090600000033-02-105
 353. 02-04-78--1-25-23090600000033-02-108
 354. 02-04-78--1-25-23090600000033-02-111
 355. 02-04-78--1-25-23090600000033-02-113
 356. 02-04-78--1-25-23090600000033-02-114
 357. 02-04-78--1-25-23090600000033-02-116
 358. 02-04-78--1-25-23090600000033-02-119
 359. 02-04-78--1-25-23090600000033-02-122
 360. 02-04-78--1-25-23090600000033-02-131
 361. 02-04-78--1-25-23090600000033-02-132
 362. 02-04-78--1-25-23090600000033-02-142
 363. 02-04-78--1-25-23090600000033-02-143
 364. 02-04-78--1-25-23090600000033-02-145
 365. 02-04-78--1-25-23090600000033-02-146
 366. 02-04-78--1-25-23090600000033-02-148
 367. 02-04-78--1-25-23090600000033-02-149
 368. 02-04-78--1-25-23090600000033-02-150
 369. 02-04-78--1-25-23090600000033-02-151
 370. 02-04-78--1-25-23090600000033-02-152
 371. 02-04-78--1-25-23090600000033-02-153
 372. 02-04-78--1-25-23090600000033-02-156
 373. 02-04-78--1-25-23090600000033-02-158
 374. 02-04-78--1-25-23090600000033-02-159
 375. 02-04-78--1-25-23090600000033-02-163
 376. 02-04-78--1-25-23090600000033-02-166
 377. 02-04-78--1-25-23090600000033-02-174
 378. 02-04-78--1-25-23090600000033-02-177
 379. 02-04-78--1-25-23090600000033-02-178
 380. 02-04-78--1-25-23090600000033-02-20
 381. 02-04-78--1-25-23090600000033-02-21
 382. 02-04-78--1-25-23090600000033-02-23
 383. 02-04-78--1-25-23090600000033-02-28
 384. 02-04-78--1-25-23090600000033-02-3
 385. 02-04-78--1-25-23090600000033-02-30
 386. 02-04-78--1-25-23090600000033-02-40
 387. 02-04-78--1-25-23090600000033-02-41
 388. 02-04-78--1-25-23090600000033-02-42
 389. 02-04-78--1-25-23090600000033-02-46
 390. 02-04-78--1-25-23090600000033-02-47
 391. 02-04-78--1-25-23090600000033-02-5
 392. 02-04-78--1-25-23090600000033-02-54
 393. 02-04-78--1-25-23090600000033-02-55
 394. 02-04-78--1-25-23090600000033-02-6
 395. 02-04-78--1-25-23090600000033-02-60
 396. 02-04-78--1-25-23090600000033-02-63
 397. 02-04-78--1-25-23090600000033-02-65
 398. 02-04-78--1-25-23090600000033-02-66
 399. 02-04-78--1-25-23090600000033-02-67
 400. 02-04-78--1-25-23090600000033-02-68
 401. 02-04-78--1-25-23090600000033-02-70
 402. 02-04-78--1-25-23090600000033-02-71
 403. 02-04-78--1-25-23090600000033-02-72
 404. 02-04-78--1-25-23090600000033-02-78
 405. 02-04-78--1-25-23090600000033-02-79
 406. 02-04-78--1-25-23090600000033-02-8
 407. 02-04-78--1-25-23090600000033-02-86
 408. 02-04-78--1-25-23090600000033-02-88
 409. 02-04-78--1-25-23090600000033-02-91
 410. 02-04-78--1-25-23090600000033-02-97
 411. 02-04-78--1-25-23090600000047-02-117
 412. 02-04-78--1-25-23090600000047-02-118
 413. 02-04-78--1-25-23090600000047-02-2
 414. 02-04-78--1-25-23090600000047-02-77
 415. 02-04-78--1-25-23090600000047-02-83
 416. 02-04-78--1-25-23090600000047-02-85
 417. 02-04-78--1-25-23100600000024-02-204
 418. 02-04-78--1-25-23100600000024-02-205
 419. 02-04-78--1-25-23100600000024-02-211
 420. 02-04-78--1-25-23100600000039-02-111
 421. 02-04-78--1-25-23100600000039-02-112
 422. 02-04-78--1-25-23100600000039-02-118
 423. 02-04-78--1-25-23100600000039-02-120
 424. 02-04-78--1-25-23100600000039-02-121
 425. 02-04-78--1-25-23100600000039-02-122
 426. 02-04-78--1-25-23100600000039-02-135
 427. 02-04-78--1-25-23100600000039-02-171
 428. 02-04-78--1-25-23100600000039-02-172
 429. 02-04-78--1-25-23100600000039-02-178
 430. 02-04-78--1-25-23100600000039-02-179
 431. 02-04-78--1-25-23100600000039-02-200
 432. 02-04-78--1-25-23100600000039-02-21
 433. 02-04-78--1-25-23100600000039-02-31
 434. 02-04-78--1-25-23100600000039-02-36
 435. 02-04-78--1-25-23100600000039-02-37
 436. 02-04-78--1-25-23100600000039-02-38
 437. 02-04-78--1-25-23100600000039-02-39
 438. 02-04-78--1-25-23100600000039-02-43
 439. 02-04-78--1-25-23100600000039-02-47
 440. 02-04-78--1-25-23100600000039-02-55
 441. 02-04-78--1-25-23100600000039-02-78
 442. 02-04-78--1-25-23100600000039-02-79
 443. 02-04-78--1-25-23100600000039-02-80
 444. 02-04-78--1-25-23100600000039-02-81
 445. 02-04-78--1-25-23100600000039-02-83
 446. 02-04-78--1-25-23100600000039-02-87
 447. 02-04-78--1-25-23100600000039-02-88
 448. 02-04-78--1-25-23100600000039-02-89
 449. 02-04-78--1-25-23101300000009-02-106
 450. 02-04-78--1-25-23101300000009-02-108
 451. 02-04-78--1-25-23101300000009-02-114
 452. 02-04-78--1-25-23101300000009-02-121
 453. 02-04-78--1-25-23101300000009-02-177
 454. 02-04-78--1-25-23101300000009-02-214
 455. 02-04-78--1-25-23101300000009-02-28
 456. 02-04-78--1-25-23101300000009-02-63
 457. 02-04-78--1-25-23101300000009-02-65
 458. 02-04-78--1-25-23101300000009-02-85
 459. 02-04-78--1-26-23090600000052-02-196
 460. 02-04-78--1-26-23090800000029-02-10
 461. 02-04-78--1-26-23090800000029-02-101
 462. 02-04-78--1-26-23090800000029-02-11
 463. 02-04-78--1-26-23090800000029-02-12
 464. 02-04-78--1-26-23090800000029-02-122
 465. 02-04-78--1-26-23090800000029-02-129
 466. 02-04-78--1-26-23090800000029-02-13
 467. 02-04-78--1-26-23090800000029-02-14
 468. 02-04-78--1-26-23090800000029-02-148
 469. 02-04-78--1-26-23090800000029-02-149
 470. 02-04-78--1-26-23090800000029-02-15
 471. 02-04-78--1-26-23090800000029-02-153
 472. 02-04-78--1-26-23090800000029-02-154
 473. 02-04-78--1-26-23090800000029-02-155
 474. 02-04-78--1-26-23090800000029-02-157
 475. 02-04-78--1-26-23090800000029-02-16
 476. 02-04-78--1-26-23090800000029-02-161
 477. 02-04-78--1-26-23090800000029-02-17
 478. 02-04-78--1-26-23090800000029-02-18
 479. 02-04-78--1-26-23090800000029-02-19
 480. 02-04-78--1-26-23090800000029-02-30
 481. 02-04-78--1-26-23090800000029-02-4
 482. 02-04-78--1-26-23090800000029-02-5
 483. 02-04-78--1-26-23090800000029-02-56
 484. 02-04-78--1-26-23090800000029-02-57
 485. 02-04-78--1-26-23090800000029-02-58
 486. 02-04-78--1-26-23090800000029-02-59
 487. 02-04-78--1-26-23090800000029-02-6
 488. 02-04-78--1-26-23090800000029-02-60
 489. 02-04-78--1-26-23090800000029-02-62
 490. 02-04-78--1-26-23090800000029-02-7
 491. 02-04-78--1-26-23090800000029-02-8
 492. 02-04-78--1-26-23090800000029-02-83
 493. 02-04-78--1-26-23090800000029-02-84
 494. 02-04-78--1-26-23090800000029-02-86
 495. 02-04-78--1-26-23090800000029-02-9
 496. 02-04-78--1-26-23090800000029-02-90
 497. 02-04-78--1-26-23090800000029-02-92
 498. 02-04-78--1-26-23090800000029-02-98
 499. 02-04-78--1-27-23091200000037-02-69
 500. 02-04-78--1-27-23091200000037-02-83
 501. 02-04-78--1-27-23091200000037-02-91
 502. 02-04-78--1-27-23091200000037-02-95
 503. 02-04-78--1-27-23091200000037-02-98
 504. 02-04-78--1-27-23091200000037-02-99
 505. 02-04-78--1-27-23092000000029-02-132
 506. 02-04-78--1-27-23092000000029-02-37
 507. 02-04-78--1-27-23092000000029-02-43
 508. 02-04-78--1-27-23092000000029-02-63
 509. 02-04-78--2-20-23100600000045-02-0
 510. 02-04-78--2-20-23100600000045-02-1
 511. 02-04-78--2-20-23100600000045-02-104
 512. 02-04-78--2-20-23100600000045-02-113
 513. 02-04-78--2-20-23100600000045-02-116
 514. 02-04-78--2-20-23100600000045-02-119
 515. 02-04-78--2-20-23100600000045-02-12
 516. 02-04-78--2-20-23100600000045-02-128
 517. 02-04-78--2-20-23100600000045-02-13
 518. 02-04-78--2-20-23100600000045-02-134
 519. 02-04-78--2-20-23100600000045-02-14
 520. 02-04-78--2-20-23100600000045-02-141
 521. 02-04-78--2-20-23100600000045-02-143
 522. 02-04-78--2-20-23100600000045-02-151
 523. 02-04-78--2-20-23100600000045-02-154
 524. 02-04-78--2-20-23100600000045-02-156
 525. 02-04-78--2-20-23100600000045-02-157
 526. 02-04-78--2-20-23100600000045-02-158
 527. 02-04-78--2-20-23100600000045-02-160
 528. 02-04-78--2-20-23100600000045-02-161
 529. 02-04-78--2-20-23100600000045-02-162
 530. 02-04-78--2-20-23100600000045-02-176
 531. 02-04-78--2-20-23100600000045-02-19
 532. 02-04-78--2-20-23100600000045-02-2
 533. 02-04-78--2-20-23100600000045-02-200
 534. 02-04-78--2-20-23100600000045-02-201
 535. 02-04-78--2-20-23100600000045-02-25
 536. 02-04-78--2-20-23100600000045-02-26
 537. 02-04-78--2-20-23100600000045-02-3
 538. 02-04-78--2-20-23100600000045-02-38
 539. 02-04-78--2-20-23100600000045-02-39
 540. 02-04-78--2-20-23100600000045-02-4
 541. 02-04-78--2-20-23100600000045-02-5
 542. 02-04-78--2-20-23100600000045-02-64
 543. 02-04-78--2-20-23100600000045-02-67
 544. 02-04-78--2-20-23100600000045-02-69
 545. 02-04-78--2-20-23100600000045-02-71
 546. 02-04-78--2-20-23100600000045-02-73
 547. 02-04-78--2-20-23100600000045-02-80
 548. 02-04-78--2-20-23100600000045-02-92
 549. 02-04-78--2-20-23100600000045-02-93
 550. 02-04-78--2-21-23090800000046-02-0
 551. 02-04-78--2-21-23090800000046-02-1
 552. 02-04-78--2-21-23090800000046-02-100
 553. 02-04-78--2-21-23090800000046-02-115
 554. 02-04-78--2-21-23090800000046-02-117
 555. 02-04-78--2-21-23090800000046-02-120
 556. 02-04-78--2-21-23090800000046-02-122
 557. 02-04-78--2-21-23090800000046-02-123
 558. 02-04-78--2-21-23090800000046-02-131
 559. 02-04-78--2-21-23090800000046-02-135
 560. 02-04-78--2-21-23090800000046-02-136
 561. 02-04-78--2-21-23090800000046-02-137
 562. 02-04-78--2-21-23090800000046-02-138
 563. 02-04-78--2-21-23090800000046-02-139
 564. 02-04-78--2-21-23090800000046-02-140
 565. 02-04-78--2-21-23090800000046-02-141
 566. 02-04-78--2-21-23090800000046-02-142
 567. 02-04-78--2-21-23090800000046-02-143
 568. 02-04-78--2-21-23090800000046-02-144
 569. 02-04-78--2-21-23090800000046-02-145
 570. 02-04-78--2-21-23090800000046-02-146
 571. 02-04-78--2-21-23090800000046-02-147
 572. 02-04-78--2-21-23090800000046-02-151
 573. 02-04-78--2-21-23090800000046-02-152
 574. 02-04-78--2-21-23090800000046-02-153
 575. 02-04-78--2-21-23090800000046-02-154
 576. 02-04-78--2-21-23090800000046-02-156
 577. 02-04-78--2-21-23090800000046-02-157
 578. 02-04-78--2-21-23090800000046-02-158
 579. 02-04-78--2-21-23090800000046-02-159
